epoch,loss,accuracy,precision,recall,f1,lr
1,0.8097601695154227,0.5584313725490196,0.5897939156035329,0.8056300268096515,0.6810198300283287,0.001
2,0.6265973412289338,0.6745098039215687,0.7135483870967742,0.7412868632707775,0.7271531886916502,0.001
3,0.43058997093462476,0.8203921568627451,0.8284625158831004,0.8739946380697051,0.8506196999347684,0.001
4,0.3261953783736509,0.8870588235294118,0.8960526315789473,0.9128686327077749,0.9043824701195219,0.001
5,0.25163020349016374,0.9176470588235294,0.9178617992177314,0.9436997319034852,0.930601454064772,0.001
6,0.18416798794970793,0.9372549019607843,0.9393139841688655,0.9544235924932976,0.9468085106382979,0.001
7,0.14679443524164312,0.9537254901960784,0.9525691699604744,0.9691689008042895,0.9607973421926911,0.001
8,0.11638372437626708,0.9670588235294117,0.9619422572178478,0.982573726541555,0.9721485411140584,0.001
9,0.10682859279361426,0.967843137254902,0.9632063074901446,0.982573726541555,0.9727936297279363,0.001
10,0.16612150096425823,0.9458823529411765,0.9568151147098516,0.9504021447721179,0.9535978480161399,0.001
11,0.11428828783333302,0.96,0.9566360052562418,0.9758713136729222,0.9661579296615793,0.001
12,0.11474299712362243,0.9592156862745098,0.9577836411609498,0.9731903485254692,0.9654255319148937,0.001
13,0.07939314420325864,0.9709803921568627,0.9720372836218375,0.9785522788203753,0.9752839011356046,0.001
14,0.08206866074426501,0.9709803921568627,0.9682959048877147,0.982573726541555,0.9753825681969395,0.001
15,0.06250382638445087,0.9811764705882353,0.9813333333333333,0.9865951742627346,0.983957219251337,0.001
16,0.051556497046760484,0.9819607843137255,0.9788079470198675,0.9906166219839142,0.9846768820786143,0.001
17,0.0632613911844936,0.9788235294117648,0.976158940397351,0.9879356568364611,0.9820119920053297,0.001
18,0.10228956319537817,0.9639215686274509,0.9654255319148937,0.9731903485254692,0.9692923898531375,0.001
19,0.068648036040877,0.9772549019607844,0.9760956175298805,0.985254691689008,0.980653769179453,0.001
20,0.03910296568975729,0.9850980392156863,0.9879194630872483,0.9865951742627346,0.9872568745808182,0.0001
21,0.031130586943643936,0.9929411764705882,0.9919893190921228,0.9959785522788204,0.9939799331103679,0.0001
22,0.024799569814520722,0.9890196078431372,0.9893048128342246,0.9919571045576407,0.9906291834002677,0.0001
23,0.018552058650290266,0.996078431372549,0.9946595460614153,0.9986595174262735,0.9966555183946488,0.0001
24,0.01559979840747866,0.9937254901960785,0.9933155080213903,0.9959785522788204,0.9946452476572959,0.0001
